k,inertia,silhouette,n_iter
2,1100.547231,0.054245,6
3,1053.000070,0.061886,6
4,1022.802575,0.070623,11
5,996.176383,0.032499,11
6,981.610831,0.035309,7
8,968.767134,0.036071,14
10,949.227536,0.041275,12
12,936.181893,0.046834,14
14,929.116038,0.046482,13
16,920.708398,0.044265,13
18,911.211499,0.049933,17
20,902.202869,0.053826,17
22,899.814815,0.047729,16
24,889.698546,0.032712,16
26,885.283090,0.055493,14
28,879.152571,0.033743,27
30,874.490986,0.058137,12
35,863.197174,0.057538,19
40,847.901834,0.057501,10
